tracking_id	XH_1916	XH_1917	XH_1918	XH_1919	XH_1920	XH_1921	XH_1922	XH_1923	XH_1924
ENSMUSG00000026154	13.0827	13.92	13.8863	12.6662	11.5154	13.7369	15.7211	14.1828	14.8361
ENSMUSG00000026155	33.1309	28.6755	27.4277	25.0299	27.9029	34.9179	25.3566	34.187	30.2201
ENSMUSG00000026158	1.85796	2.61523	1.61346	4.48788	3.2932	2.31298	2.49382	1.60296	1.87994
ENSMUSG00000026159	41.5463	34.2597	38.1007	32.9338	32.28	33.6426	36.21	38.0051	36.2187
ENSMUSG00000026162	3.96208	5.27256	5.01567	5.495	3.82132	4.40848	4.70662	5.34982	4.79428
ENSMUSG00000026170	2.04279	1.09521	1.04686	0.473293	0.648074	1.58504	0.865495	1.66977	0.882618
ENSMUSG00000026171	24.172	24.8819	28.5055	31.9471	27.3179	29.4859	26.9339	26.6129	31.4661
ENSMUSG00000026172	9.80951	11.5651	10.3714	9.14453	8.79106	9.97474	10.1601	10.2092	10.2072
ENSMUSG00000026174	47.1713	41.921	45.6509	38.5589	33.5058	42.5721	40.2371	41.534	41.2777
ENSMUSG00000026175	0.587761	0.945525	1.43188	0.606677	1.67039	1.25929	1.39553	1.27181	0.897286
ENSMUSG00000026176	12.8527	9.95154	9.84284	10.5153	7.09166	8.81428	8.8599	8.32832	9.30668
ENSMUSG00000026177	2.57864	9.02821	3.02276	3.31244	1.44276	4.46484	3.0861	2.06998	5.18481
ENSMUSG00000026179	33.7952	43.6327	37.0614	42.6644	30.7789	43.9364	39.2138	38.732	47.6792
ENSMUSG00000026181	21.4984	23.8041	24.6784	18.77	16.7906	26.385	21.9094	25.0178	20.7234
ENSMUSG00000026187	58.015	50.1992	54.0788	64.7597	61.8693	53.4567	57.1182	52.3601	55.6487
ENSMUSG00000026189	27.4094	27.7891	25.7991	34.5971	28.372	27.9895	25.0316	25.78	25.6933
ENSMUSG00000026192	135.494	125.814	123.556	93.8215	96.8589	117.312	102.04	118.001	105.333
ENSMUSG00000026193	331.598	226.34	184.973	263.689	260.04	203.194	262.674	190.74	314.05
