tracking_id	13_1	13_2	13_3	14_1	14_2	14_3
ENSMUSG00000022313	3.33808	3.41178	3.09102	7.95594	10.0758	8.4378
ENSMUSG00000022314	16.6783	18.3072	17.755	15.2668	15.2937	14.8124
ENSMUSG00000022321	0.887619	1.17515	0.5659	2.23385	2.20324	2.19577
ENSMUSG00000022322	20.4492	27.5208	27.3147	13.863	13.1917	13.3044
ENSMUSG00000022323	76.5981	80.4536	85.2153	33.7718	35.2591	40.873
ENSMUSG00000022324	23.3912	25.4213	28.1877	47.4342	46.6044	40.8995
ENSMUSG00000022325	5.97669	6.46247	6.85204	2.65645	3.192	3.25757
ENSMUSG00000022329	38.5627	43.0538	48.2973	40.988	34.4779	32.6431
ENSMUSG00000022330	3.41351	4.28378	2.68165	8.86114	6.61579	7.83874
ENSMUSG00000022332	2.5761	4.69032	2.98426	1.56508	1.17184	0.996973
ENSMUSG00000022335	0.693901	1.05298	0.97419	2.24872	2.28774	2.09484
ENSMUSG00000022336	208.291	242.924	246.087	91.4605	89.9021	91.8431
ENSMUSG00000022337	117.495	133.399	146.054	59.4508	57.8053	59.1578
ENSMUSG00000022338	162.25	172.746	198.919	110.839	117.558	128.787
ENSMUSG00000022339	6.94752	7.45965	6.54925	7.46205	7.26517	8.44167
ENSMUSG00000022346	229.706	194.902	162.763	82.3778	86.7126	82.2682
ENSMUSG00000022350	62.3756	65.7689	67.0135	38.1293	35.784	33.7097
ENSMUSG00000022351	51.0558	57.6127	58.4479	172.424	182.656	169.251
ENSMUSG00000022353	4.40839	2.96868	3.13547	3.39216	3.41171	5.39276
ENSMUSG00000022354	528.762	620.368	613.125	230.881	258.7	267.974
ENSMUSG00000022358	0.374947	0.641504	0.773888	1.29037	1.25657	1.1186
ENSMUSG00000022359	6.6271	5.7094	6.91625	10.1499	8.75081	7.46493
ENSMUSG00000022360	10.6368	9.42472	8.86612	11.6943	13.4777	10.9887
ENSMUSG00000022361	5.13264	6.03194	4.79502	12.0203	11.2169	10.9127
ENSMUSG00000022362	2.72471	1.83394	2.12686	5.66256	4.34992	3.34472
ENSMUSG00000022364	9.79175	10.7822	10.4476	15.2119	14.9629	14.3615
ENSMUSG00000022365	43.1385	44.6144	49.3318	64.8444	67.0024	66.8143
ENSMUSG00000022367	2.51341	3.18216	3.92742	46.0941	46.5333	43.2238
ENSMUSG00000022369	11.1493	11.2538	10.053	8.94513	9.95904	8.51722
ENSMUSG00000022370	164.038	188.537	195.343	50.9267	59.1179	54.8034
