tracking_id	15_1	15_2	15_3	16_1	16_2	16_3
ENSG00000183828	35.205	34.3145	34.0976	37.2738	31.2617	41.4987
ENSG00000183831	2.46239	2.09275	3.1301	2.05016	0.789133	1.50872
ENSG00000183833	2.43274	2.08791	1.5371	2.45832	1.06829	1.44966
ENSG00000183840	1.87059	0.482214	1.42582	3.30751	4.42274	2.99669
ENSG00000183850	4.54185	4.72936	2.9029	1.81182	3.58753	3.08944
ENSG00000183853	17.6741	18.1269	20.8481	25.1699	28.3363	21.8319
ENSG00000183856	2.31957	2.53409	2.67908	3.67792	2.42993	2.20877
ENSG00000183864	27.644	25.3261	24.3374	25.1228	23.3828	25.7991
ENSG00000183878	20.8999	23.7491	26.7644	21.7993	22.7277	24.1169
ENSG00000183889	2.33161	2.32416	3.4838	2.73126	2.9265	2.1416
ENSG00000183891	15.4204	16.7073	16.5467	14.9978	18.4246	17.4154
ENSG00000183943	12.1766	3.3672	3.74123	7.08627	1.87465	1.865
ENSG00000183955	9.38231	7.9075	6.79915	9.83092	8.57141	13.3937
ENSG00000183963	14.1428	15.6745	14.305	15.1201	14.8092	16.1938
ENSG00000183971	8.92828	1.16978	1.07904	2.24158	0.378682	2.12478
ENSG00000183978	138.963	143.269	138.143	119.258	138.275	162.033
ENSG00000184005	15.5694	18.6042	23.0326	12.7758	14.007	19.3429
ENSG00000184007	47.4274	33.4217	29.9424	48.8781	35.3652	39.3992
ENSG00000184009	1321.99	1354.9	1410.13	1531.02	1709.61	1809.1
ENSG00000184012	1.09795	0.178286	1.43159	1.02926	0.605271	0.195583
ENSG00000184014	17.0684	12.6701	16.0027	13.8949	13.2473	10.2906
ENSG00000184047	143.646	156.571	165.037	155.816	166.012	183.213
ENSG00000184056	8.79864	11.3439	12.2463	9.40674	12.4354	12.0306
ENSG00000184060	0.764672	1.36563	3.65119	0.119316	1.61056	4.20753
ENSG00000184076	196.553	214.484	198.382	206.399	244.357	233.295
ENSG00000184083	2.27832	0.812554	0.558963	1.74474	0.517665	1.26133
ENSG00000184084	2.51855	6.51449	1.97632	0.915758	0	1.99633
ENSG00000184110	13.0576	12.7564	12.6048	13.4375	15.9092	13.619
ENSG00000184113	6.01346	3.16136	2.09034	2.46255	1.55681	2.91816
ENSG00000184117	87.2785	97.3921	104.831	87.9312	98.4936	109.703
ENSG00000184144	1.31796	1.47423	0.883144	0.610464	0.647341	0.580016
ENSG00000184154	12.2104	13.2153	9.07792	13.0556	10.3342	14.0399
ENSG00000184162	11.5382	15.0385	11.6084	12.2676	13.79	11.8145
ENSG00000184164	50.3129	20.9999	17.8221	32.434	9.93529	21.969
ENSG00000184178	23.6589	24.5614	27.2257	26.7569	25.2967	32.813
ENSG00000184182	60.2385	56.6258	53.5307	51.9551	44.8707	63.9002
ENSG00000184203	27.4939	26.9721	23.0503	27.3291	23.9484	39.8391
ENSG00000184205	33.0496	28.6671	29.8716	47.412	34.232	45.4647
ENSG00000184206	5.88226	6.53009	4.62615	2.84412	4.45956	2.16237
ENSG00000184207	5.27402	1.0476	1.44857	3.01604	1.17506	1.84282
ENSG00000184208	4.23969	3.85873	5.23486	3.62302	4.38322	4.55598
ENSG00000184209	36.1668	42.8643	45.6375	32.1696	35.8531	40.1088
ENSG00000184216	55.1895	21.776	22.881	46.5199	16.2447	23.4772
ENSG00000184220	40.0905	34.0275	41.5538	43.7384	50.642	52.7959
ENSG00000184226	20.2401	23.9424	24.052	19.8587	19.8489	21.7611
ENSG00000184227	3.70727	2.6463	1.79989	2.7056	1.47944	2.68384
ENSG00000184232	5.53837	1.84451	2.29449	3.10817	0.912885	1.09186
ENSG00000184260	3.63755	2.5492	3.14445	3.45402	1.76088	2.57721
ENSG00000184271	2.99053	13.6162	1.84176	4.73769	7.71821	7.24311
ENSG00000184277	45.1075	51.4576	46.7332	44.1101	49.5163	52.2206
ENSG00000184281	75.1811	67.4989	69.5044	60.198	78.6569	82.1762
ENSG00000184304	2.84537	1.3083	1.43546	2.86128	2.12066	1.86538
ENSG00000184305	0.860211	0.368295	0.575555	3.20895	1.29818	2.93692
ENSG00000184319	18.847	23.1861	23.1599	26.2069	27.2863	33.1827
ENSG00000184344	4.28967	3.76004	4.91698	6.36854	5.79019	9.48948
ENSG00000184347	11.9618	10.1817	10.1975	11.8608	7.81521	9.45579
ENSG00000184349	3.23887	3.77219	3.4861	3.33908	3.34583	3.84061
ENSG00000184371	5.17604	2.13357	1.82259	4.58446	2.21448	2.46607
ENSG00000184378	0.658099	1.13789	1.53887	1.84033	1.98746	2.40542
ENSG00000184381	10.7897	7.03039	10.1254	8.94174	8.71261	9.04724
ENSG00000184384	11.3451	11.5943	14.2504	14.2241	16.9482	14.8284
ENSG00000184402	1.31119	2.26649	2.74186	1.50599	2.07432	2.10062
ENSG00000184408	0.892798	1.23009	0.991404	2.17371	1.44738	3.16914
ENSG00000184428	7.25613	8.29078	10.3326	8.67609	8.92213	9.78705
ENSG00000184432	93.7556	110.431	117.705	142.74	168.947	159.188
ENSG00000184436	41.6619	40.8887	36.8707	38.7464	39.6051	48.0297
ENSG00000184441	1.70895	1.14928	1.36758	1.27004	0.694755	0.721872
ENSG00000184445	16.5473	18.7502	20.9907	15.0341	18.0437	18.9733
ENSG00000184454	1.03606	0.69429	0.773325	0.997645	1.36998	1.00666
ENSG00000184465	9.6434	10.0058	11.2899	10.5152	7.89738	7.83487
ENSG00000184470	11.2291	9.38351	8.79352	19.6055	18.4067	20.4274
ENSG00000184486	2.74994	1.86043	1.85218	2.3225	2.10396	2.32231
ENSG00000184489	17.6591	14.4651	17.3416	11.2195	12.0687	15.4247
ENSG00000184497	0.942024	1.43718	3.00813	3.00224	0.676362	4.28832
ENSG00000184500	5.34526	4.74927	3.45297	7.7493	4.42697	6.12445
ENSG00000184508	13.9954	11.285	10.6114	8.81226	14.9218	15.475
ENSG00000184517	12.6977	13.4916	14.76	13.419	10.0692	12.3198
ENSG00000184524	6.79278	5.3084	4.95743	7.11424	5.96108	7.57203
ENSG00000184557	14.383	7.08411	5.43251	11.5148	4.37899	7.9243
ENSG00000184564	20.5419	29.5166	30.9913	21.0322	25.907	26.0853
ENSG00000184575	66.6317	58.3679	50.257	79.0479	46.0928	68.5902
